OrderID,CustomerID,ProductID,StoreID,PromotionID,PaymentMethodID,DateID,PurchaseDate,QuantitySold,TotalSales,DiscountAmount,NetSales
ORDER_000043,CUST_000156,PROD_000036,STORE_000006,PROMO_000001,PAY_000043,DATE_20200417,2020-04-17,10,6702.6,1361.3,5341.3
ORDER_000044,CUST_000080,PROD_000017,STORE_000010,PROMO_000008,PAY_000044,DATE_20211119,2021-11-19,2,770.36,270.86,499.5
ORDER_000045,CUST_000148,PROD_000007,STORE_000011,PROMO_000007,PAY_000045,DATE_20201203,2020-12-03,7,4443.53,982.46,3461.07
ORDER_000046,CUST_000020,PROD_000043,STORE_000010,PROMO_000005,PAY_000046,DATE_20220604,2022-06-04,10,9629.1,4215.62,5413.48
ORDER_000047,CUST_000179,PROD_000019,STORE_000016,PROMO_000001,PAY_000047,DATE_20211224,2021-12-24,5,990.0,360.56,629.44
ORDER_000048,CUST_000011,PROD_000030,STORE_000018,PROMO_000010,PAY_000048,DATE_20210925,2021-09-25,6,1733.64,808.57,925.07
ORDER_000049,CUST_000018,PROD_000011,STORE_000004,PROMO_000012,PAY_000049,DATE_20220521,2022-05-21,9,7786.8,3588.94,4197.86
ORDER_000050,CUST_000108,PROD_000006,STORE_000006,PROMO_000015,PAY_000050,DATE_20230809,2023-08-09,8,4739.44,563.05,4176.39
ORDER_000051,CUST_000093,PROD_000035,STORE_000006,PROMO_000004,PAY_000051,DATE_20210629,2021-06-29,8,1089.36,531.5,557.86
ORDER_000052,CUST_000046,PROD_000009,STORE_000009,PROMO_000018,PAY_000052,DATE_20210914,2021-09-14,9,1998.81,363.98,1634.83
ORDER_000053,CUST_000138,PROD_000028,STORE_000012,PROMO_000017,PAY_000053,DATE_20200807,2020-08-07,8,5369.44,2082.81,3286.63
ORDER_000054,CUST_000188,PROD_000048,STORE_000003,PROMO_000010,PAY_000054,DATE_20240206,2024-02-06,10,3329.2,495.38,2833.82
ORDER_000055,CUST_000063,PROD_000032,STORE_000011,PROMO_000004,PAY_000055,DATE_20240718,2024-07-18,2,27.02,7.87,19.15
ORDER_000056,CUST_000063,PROD_000038,STORE_000007,PROMO_000007,PAY_000056,DATE_20230401,2023-04-01,8,5913.6,2601.39,3312.21
ORDER_000057,CUST_000008,PROD_000007,STORE_000001,PROMO_000002,PAY_000057,DATE_20221117,2022-11-17,8,642.24,308.72,333.52
ORDER_000058,CUST_000125,PROD_000024,STORE_000008,PROMO_000009,PAY_000058,DATE_20210325,2021-03-25,4,1850.6,296.47,1554.13
ORDER_000059,CUST_000088,PROD_000025,STORE_000005,PROMO_000016,PAY_000059,DATE_20221022,2022-10-22,5,3124.75,692.76,2431.99
ORDER_000060,CUST_000003,PROD_000022,STORE_000003,PROMO_000007,PAY_000060,DATE_20200713,2020-07-13,9,1158.21,509.5,648.71
ORDER_000061,CUST_000062,PROD_000035,STORE_000020,PROMO_000014,PAY_000061,DATE_20231208,2023-12-08,7,953.19,141.74,811.45
ORDER_000062,CUST_000195,PROD_000047,STORE_000004,PROMO_000012,PAY_000062,DATE_20230402,2023-04-02,4,2507.68,365.37,2142.31
ORDER_000063,CUST_000115,PROD_000036,STORE_000004,PROMO_000010,PAY_000063,DATE_20200615,2020-06-15,1,685.25,117.52,567.73
ORDER_000064,CUST_000057,PROD_000026,STORE_000012,PROMO_000009,PAY_000064,DATE_20211102,2021-11-02,7,1547.14,449.29,1097.85
ORDER_000065,CUST_000170,PROD_000013,STORE_000013,PROMO_000001,PAY_000065,DATE_20210403,2021-04-03,10,4276.6,868.58,3408.02
ORDER_000066,CUST_000142,PROD_000031,STORE_000004,PROMO_000012,PAY_000066,DATE_20240406,2024-04-06,9,912.42,420.53,491.89
ORDER_000067,CUST_000191,PROD_000016,STORE_000007,PROMO_000016,PAY_000067,DATE_20220331,2022-03-31,9,1994.49,993.85,1000.64
ORDER_000068,CUST_000180,PROD_000024,STORE_000005,PROMO_000020,PAY_000068,DATE_20210913,2021-09-13,8,5192.4,2487.68,2704.72
ORDER_000069,CUST_000065,PROD_000029,STORE_000017,PROMO_000014,PAY_000069,DATE_20241211,2024-12-11,4,497.08,225.67,271.41
ORDER_000070,CUST_000081,PROD_000028,STORE_000004,PROMO_000005,PAY_000070,DATE_20200121,2020-01-21,2,1968.02,609.69,1358.33
ORDER_000071,CUST_000056,PROD_000003,STORE_000015,PROMO_000012,PAY_000071,DATE_20200612,2020-06-12,8,5305.2,772.97,4532.23
ORDER_000072,CUST_000195,PROD_000044,STORE_000013,PROMO_000008,PAY_000072,DATE_20231029,2023-10-29,9,3170.07,1114.6,2055.47
ORDER_000073,CUST_000050,PROD_000034,STORE_000014,PROMO_000009,PAY_000073,DATE_20220627,2022-06-27,5,1877.6,300.79,1576.81
ORDER_000074,CUST_000046,PROD_000038,STORE_000008,PROMO_000018,PAY_000074,DATE_20210508,2021-05-08,5,3696.0,673.04,3022.96
ORDER_000075,CUST_000033,PROD_000012,STORE_000007,PROMO_000013,PAY_000075,DATE_20220131,2022-01-31,5,1280.85,573.95,706.9
ORDER_000076,CUST_000142,PROD_000037,STORE_000017,PROMO_000008,PAY_000076,DATE_20220706,2022-07-06,5,1221.85,436.93,784.92
ORDER_000077,CUST_000027,PROD_000014,STORE_000006,PROMO_000012,PAY_000077,DATE_20211112,2021-11-12,1,857.41,124.92,732.49
ORDER_000078,CUST_000123,PROD_000021,STORE_000020,PROMO_000010,PAY_000078,DATE_20201129,2020-11-29,8,4792.64,938.88,3853.76
ORDER_000079,CUST_000014,PROD_000029,STORE_000010,PROMO_000010,PAY_000079,DATE_20201003,2020-10-03,5,579.85,208.57,371.28
ORDER_000080,CUST_000017,PROD_000050,STORE_000018,PROMO_000012,PAY_000080,DATE_20210413,2021-04-13,7,3867.22,1180.28,2686.94
ORDER_000081,CUST_000148,PROD_000024,STORE_000004,PROMO_000012,PAY_000081,DATE_20220404,2022-04-04,1,139.57,11.14,128.43
ORDER_000082,CUST_000145,PROD_000048,STORE_000006,PROMO_000006,PAY_000082,DATE_20220226,2022-02-26,5,3501.2,1393.13,2108.07
ORDER_000083,CUST_000031,PROD_000021,STORE_000005,PROMO_000014,PAY_000083,DATE_20200929,2020-09-29,9,8650.53,4315.75,4334.78
ORDER_000084,CUST_000153,PROD_000023,STORE_000005,PROMO_000018,PAY_000084,DATE_20210908,2021-09-08,10,3232.1,391.73,2840.37
ORDER_000085,CUST_000098,PROD_000010,STORE_000006,PROMO_000013,PAY_000085,DATE_20200723,2020-07-23,8,6294.16,2135.61,4158.55
ORDER_000086,CUST_000151,PROD_000043,STORE_000017,PROMO_000018,PAY_000086,DATE_20200824,2020-08-24,7,869.33,44.77,824.56
ORDER_000087,CUST_000159,PROD_000044,STORE_000018,PROMO_000017,PAY_000087,DATE_20240913,2024-09-13,1,352.23,35.75,316.48
ORDER_000088,CUST_000161,PROD_000018,STORE_000001,PROMO_000018,PAY_000088,DATE_20240510,2024-05-10,4,3142.12,1177.98,1964.14
ORDER_000089,CUST_000041,PROD_000030,STORE_000011,PROMO_000004,PAY_000089,DATE_20220614,2022-06-14,4,2762.48,804.71,1957.77
ORDER_000090,CUST_000020,PROD_000020,STORE_000001,PROMO_000009,PAY_000090,DATE_20221016,2022-10-16,3,1446.06,419.94,1026.12
ORDER_000091,CUST_000116,PROD_000026,STORE_000006,PROMO_000018,PAY_000091,DATE_20220715,2022-07-15,10,2210.2,402.48,1807.72
ORDER_000092,CUST_000009,PROD_000002,STORE_000016,PROMO_000002,PAY_000092,DATE_20200309,2020-03-09,4,993.84,91.14,902.7
ORDER_000093,CUST_000180,PROD_000020,STORE_000009,PROMO_000009,PAY_000093,DATE_20200213,2020-02-13,8,3856.16,1119.83,2736.33
ORDER_000094,CUST_000068,PROD_000009,STORE_000006,PROMO_000013,PAY_000094,DATE_20240709,2024-07-09,10,2220.9,855.49,1365.41
ORDER_000095,CUST_000030,PROD_000011,STORE_000003,PROMO_000006,PAY_000095,DATE_20220519,2022-05-19,9,7786.8,3098.37,4688.43
ORDER_000096,CUST_000069,PROD_000005,STORE_000006,PROMO_000013,PAY_000096,DATE_20200305,2020-03-05,3,1215.0,137.05,1077.95
ORDER_000097,CUST_000043,PROD_000013,STORE_000008,PROMO_000004,PAY_000097,DATE_20211113,2021-11-13,5,2138.3,1043.28,1095.02
ORDER_000098,CUST_000032,PROD_000020,STORE_000003,PROMO_000019,PAY_000098,DATE_20221108,2022-11-08,8,477.12,158.12,319.0
ORDER_000099,CUST_000070,PROD_000002,STORE_000001,PROMO_000007,PAY_000099,DATE_20200616,2020-06-16,9,5145.12,2263.34,2881.78
ORDER_000100,CUST_000021,PROD_000050,STORE_000020,PROMO_000014,PAY_000100,DATE_20220111,2022-01-11,10,5524.6,2508.17,3016.43
ORDER_000101,CUST_000189,PROD_000046,STORE_000004,PROMO_000013,PAY_000101,DATE_20200905,2020-09-05,6,4333.44,1669.24,2664.2
ORDER_000102,CUST_000024,PROD_000042,STORE_000001,PROMO_000011,PAY_000102,DATE_20230308,2023-03-08,4,2730.88,1146.42,1584.46
ORDER_000103,CUST_000148,PROD_000012,STORE_000008,PROMO_000020,PAY_000103,DATE_20201016,2020-10-16,1,408.6,50.14,358.46
ORDER_000104,CUST_000133,PROD_000001,STORE_000003,PROMO_000003,PAY_000104,DATE_20241215,2024-12-15,8,234.24,75.36,158.88
ORDER_000105,CUST_000150,PROD_000025,STORE_000006,PROMO_000004,PAY_000105,DATE_20221008,2022-10-08,7,3971.52,1937.7,2033.82
ORDER_000106,CUST_000121,PROD_000023,STORE_000014,PROMO_000012,PAY_000106,DATE_20210831,2021-08-31,6,1939.26,893.8,1045.46
ORDER_000107,CUST_000083,PROD_000022,STORE_000016,PROMO_000012,PAY_000107,DATE_20230124,2023-01-24,2,1197.14,174.42,1022.72
ORDER_000108,CUST_000106,PROD_000004,STORE_000011,PROMO_000016,PAY_000108,DATE_20210108,2021-01-08,8,7717.76,1711.03,6006.73
ORDER_000109,CUST_000195,PROD_000006,STORE_000006,PROMO_000006,PAY_000109,DATE_20220628,2022-06-28,9,3102.3,1234.41,1867.89
ORDER_000110,CUST_000023,PROD_000013,STORE_000007,PROMO_000002,PAY_000110,DATE_20200831,2020-08-31,6,2565.96,235.3,2330.66
ORDER_000111,CUST_000030,PROD_000020,STORE_000007,PROMO_000006,PAY_000111,DATE_20220929,2022-09-29,7,3374.14,1172.85,2201.29
ORDER_000112,CUST_000119,PROD_000028,STORE_000008,PROMO_000010,PAY_000112,DATE_20211017,2021-10-17,7,4698.26,699.1,3999.16
ORDER_000113,CUST_000133,PROD_000014,STORE_000020,PROMO_000003,PAY_000113,DATE_20231107,2023-11-07,6,5144.46,2219.32,2925.14
ORDER_000114,CUST_000195,PROD_000006,STORE_000007,PROMO_000015,PAY_000114,DATE_20220307,2022-03-07,1,592.43,259.19,333.24
ORDER_000115,CUST_000141,PROD_000030,STORE_000013,PROMO_000015,PAY_000115,DATE_20241222,2024-12-22,3,866.82,308.76,558.06
ORDER_000116,CUST_000179,PROD_000036,STORE_000017,PROMO_000015,PAY_000116,DATE_20201106,2020-11-06,8,5362.08,2091.75,3270.33
ORDER_000117,CUST_000162,PROD_000028,STORE_000010,PROMO_000016,PAY_000117,DATE_20241116,2024-11-16,10,8090.3,4031.4,4058.9
ORDER_000118,CUST_000080,PROD_000041,STORE_000019,PROMO_000012,PAY_000118,DATE_20200722,2020-07-22,9,5970.87,1822.31,4148.56
ORDER_000119,CUST_000105,PROD_000031,STORE_000015,PROMO_000003,PAY_000119,DATE_20200411,2020-04-11,2,1695.28,545.37,1149.91
ORDER_000120,CUST_000119,PROD_000002,STORE_000016,PROMO_000003,PAY_000120,DATE_20210903,2021-09-03,2,1143.36,367.82,775.54
ORDER_000121,CUST_000184,PROD_000049,STORE_000003,PROMO_000008,PAY_000121,DATE_20241120,2024-11-20,5,3402.7,1196.39,2206.31
ORDER_000122,CUST_000124,PROD_000027,STORE_000014,PROMO_000006,PAY_000122,DATE_20210224,2021-02-24,8,1329.36,528.95,800.41
ORDER_000123,CUST_000142,PROD_000004,STORE_000009,PROMO_000014,PAY_000123,DATE_20221026,2022-10-26,3,1597.2,366.88,1230.32
ORDER_000124,CUST_000154,PROD_000006,STORE_000020,PROMO_000003,PAY_000124,DATE_20240131,2024-01-31,9,2092.05,673.01,1419.04
ORDER_000125,CUST_000071,PROD_000041,STORE_000001,PROMO_000020,PAY_000125,DATE_20240731,2024-07-31,7,1614.83,198.14,1416.69
ORDER_000126,CUST_000069,PROD_000048,STORE_000011,PROMO_000008,PAY_000126,DATE_20200829,2020-08-29,1,332.92,69.88,263.04
ORDER_000127,CUST_000151,PROD_000017,STORE_000008,PROMO_000015,PAY_000127,DATE_20241101,2024-11-01,10,3851.8,1685.16,2166.64
ORDER_000128,CUST_000115,PROD_000031,STORE_000009,PROMO_000019,PAY_000128,DATE_20220306,2022-03-06,9,912.42,254.11,658.31
ORDER_000129,CUST_000086,PROD_000029,STORE_000003,PROMO_000013,PAY_000129,DATE_20220831,2022-08-31,9,1043.73,467.7,576.03
ORDER_000130,CUST_000083,PROD_000050,STORE_000015,PROMO_000020,PAY_000130,DATE_20230303,2023-03-03,4,1742.36,834.76,907.6
ORDER_000131,CUST_000099,PROD_000019,STORE_000001,PROMO_000011,PAY_000131,DATE_20220319,2022-03-19,4,271.6,114.02,157.58
ORDER_000132,CUST_000082,PROD_000013,STORE_000006,PROMO_000007,PAY_000132,DATE_20240824,2024-08-24,8,3421.28,756.45,2664.83
ORDER_000133,CUST_000170,PROD_000030,STORE_000001,PROMO_000012,PAY_000133,DATE_20221108,2022-11-08,3,655.56,302.15,353.41
ORDER_000134,CUST_000033,PROD_000030,STORE_000002,PROMO_000017,PAY_000134,DATE_20200427,2020-04-27,9,2600.46,1008.72,1591.74
ORDER_000135,CUST_000113,PROD_000028,STORE_000018,PROMO_000005,PAY_000135,DATE_20231226,2023-12-26,2,1618.06,482.83,1135.23
ORDER_000136,CUST_000185,PROD_000037,STORE_000017,PROMO_000005,PAY_000136,DATE_20220310,2022-03-10,3,2779.53,861.1,1918.43
ORDER_000137,CUST_000020,PROD_000025,STORE_000006,PROMO_000003,PAY_000137,DATE_20231027,2023-10-27,8,4999.6,1608.37,3391.23
ORDER_000138,CUST_000160,PROD_000042,STORE_000019,PROMO_000008,PAY_000138,DATE_20230411,2023-04-11,7,2503.41,895.22,1608.19
ORDER_000139,CUST_000173,PROD_000022,STORE_000002,PROMO_000020,PAY_000139,DATE_20210907,2021-09-07,9,8022.42,3843.54,4178.88
ORDER_000140,CUST_000161,PROD_000004,STORE_000004,PROMO_000018,PAY_000140,DATE_20220509,2022-05-09,8,4259.2,516.22,3742.98
ORDER_000141,CUST_000018,PROD_000001,STORE_000015,PROMO_000017,PAY_000141,DATE_20200402,2020-04-02,4,1323.64,471.35,852.29
ORDER_000142,CUST_000192,PROD_000003,STORE_000009,PROMO_000018,PAY_000142,DATE_20240907,2024-09-07,2,1956.4,356.26,1600.14
ORDER_000143,CUST_000195,PROD_000035,STORE_000015,PROMO_000014,PAY_000143,DATE_20211201,2021-12-01,2,1799.98,817.19,982.79
ORDER_000144,CUST_000178,PROD_000014,STORE_000020,PROMO_000012,PAY_000144,DATE_20241030,2024-10-30,5,4049.7,1235.97,2813.73
ORDER_000145,CUST_000084,PROD_000009,STORE_000006,PROMO_000013,PAY_000145,DATE_20240331,2024-03-31,1,140.99,15.9,125.09
ORDER_000146,CUST_000096,PROD_000034,STORE_000017,PROMO_000001,PAY_000146,DATE_20201025,2020-10-25,7,2628.64,957.35,1671.29
ORDER_000147,CUST_000136,PROD_000006,STORE_000002,PROMO_000008,PAY_000147,DATE_20220804,2022-08-04,7,2412.9,297.27,2115.63
ORDER_000148,CUST_000045,PROD_000003,STORE_000012,PROMO_000002,PAY_000148,DATE_20200325,2020-03-25,2,269.0,24.67,244.33
ORDER_000149,CUST_000175,PROD_000034,STORE_000004,PROMO_000005,PAY_000149,DATE_20201005,2020-10-05,4,1502.08,448.22,1053.86
ORDER_000150,CUST_000037,PROD_000023,STORE_000002,PROMO_000020,PAY_000150,DATE_20220216,2022-02-16,4,2278.28,497.35,1780.93
ORDER_000151,CUST_000118,PROD_000002,STORE_000015,PROMO_000002,PAY_000151,DATE_20200218,2020-02-18,5,439.85,88.63,351.22
ORDER_000152,CUST_000074,PROD_000026,STORE_000020,PROMO_000009,PAY_000152,DATE_20220124,2022-01-24,9,1989.18,318.67,1670.51
ORDER_000153,CUST_000114,PROD_000003,STORE_000001,PROMO_000016,PAY_000153,DATE_20220618,2022-06-18,6,3224.28,714.82,2509.46
ORDER_000154,CUST_000177,PROD_000047,STORE_000011,PROMO_000012,PAY_000154,DATE_20210102,2021-01-02,5,3134.6,956.68,2177.92
ORDER_000155,CUST_000051,PROD_000027,STORE_000001,PROMO_000020,PAY_000155,DATE_20200407,2020-04-07,7,1163.19,142.72,1020.47
ORDER_000156,CUST_000061,PROD_000038,STORE_000009,PROMO_000018,PAY_000156,DATE_20200116,2020-01-16,7,241.78,44.03,197.75
ORDER_000157,CUST_000076,PROD_000006,STORE_000011,PROMO_000008,PAY_000157,DATE_20221029,2022-10-29,5,1723.5,605.98,1117.52
ORDER_000158,CUST_000071,PROD_000027,STORE_000014,PROMO_000017,PAY_000158,DATE_20220107,2022-01-07,1,375.83,168.45,207.38
ORDER_000159,CUST_000191,PROD_000026,STORE_000006,PROMO_000004,PAY_000159,DATE_20200404,2020-04-04,8,2180.4,635.15,1545.25
ORDER_000160,CUST_000156,PROD_000042,STORE_000014,PROMO_000012,PAY_000160,DATE_20230825,2023-08-25,6,2145.78,654.89,1490.89
ORDER_000161,CUST_000159,PROD_000028,STORE_000006,PROMO_000003,PAY_000161,DATE_20210928,2021-09-28,5,3355.9,1447.74,1908.16
ORDER_000162,CUST_000161,PROD_000033,STORE_000018,PROMO_000018,PAY_000162,DATE_20220522,2022-05-22,1,19.57,2.37,17.2
ORDER_000163,CUST_000009,PROD_000034,STORE_000018,PROMO_000004,PAY_000163,DATE_20211229,2021-12-29,10,3755.2,1093.89,2661.31
ORDER_000164,CUST_000024,PROD_000033,STORE_000002,PROMO_000020,PAY_000164,DATE_20230702,2023-07-02,5,2780.8,1332.28,1448.52
ORDER_000165,CUST_000045,PROD_000005,STORE_000003,PROMO_000007,PAY_000165,DATE_20230418,2023-04-18,4,1620.0,712.64,907.36
ORDER_000166,CUST_000094,PROD_000026,STORE_000007,PROMO_000014,PAY_000166,DATE_20230701,2023-07-01,9,1989.18,456.91,1532.27
ORDER_000167,CUST_000066,PROD_000012,STORE_000007,PROMO_000008,PAY_000167,DATE_20230624,2023-06-24,8,3268.8,1195.73,2073.07
ORDER_000168,CUST_000030,PROD_000004,STORE_000020,PROMO_000010,PAY_000168,DATE_20221219,2022-12-19,8,7717.76,1323.6,6394.16
ORDER_000169,CUST_000194,PROD_000028,STORE_000012,PROMO_000020,PAY_000169,DATE_20200625,2020-06-25,4,3936.04,1885.76,2050.28
ORDER_000170,CUST_000094,PROD_000023,STORE_000007,PROMO_000020,PAY_000170,DATE_20230730,2023-07-30,2,536.32,117.08,419.24
ORDER_000171,CUST_000068,PROD_000039,STORE_000015,PROMO_000013,PAY_000171,DATE_20231202,2023-12-02,9,2467.26,282.01,2185.25
ORDER_000172,CUST_000095,PROD_000048,STORE_000009,PROMO_000015,PAY_000172,DATE_20220122,2022-01-22,5,1664.6,203.08,1461.52
ORDER_000173,CUST_000028,PROD_000049,STORE_000009,PROMO_000012,PAY_000173,DATE_20220820,2022-08-20,4,2722.16,217.23,2504.93
ORDER_000174,CUST_000159,PROD_000047,STORE_000002,PROMO_000006,PAY_000174,DATE_20240424,2024-04-24,9,3932.82,1367.05,2565.77
ORDER_000175,CUST_000057,PROD_000022,STORE_000002,PROMO_000014,PAY_000175,DATE_20240814,2024-08-14,2,1197.14,178.01,1019.13
ORDER_000176,CUST_000167,PROD_000019,STORE_000015,PROMO_000011,PAY_000176,DATE_20210703,2021-07-03,7,1578.64,650.87,927.77
ORDER_000177,CUST_000012,PROD_000001,STORE_000013,PROMO_000014,PAY_000177,DATE_20230925,2023-09-25,1,929.81,422.13,507.68
ORDER_000178,CUST_000030,PROD_000045,STORE_000014,PROMO_000007,PAY_000178,DATE_20200128,2020-01-28,2,107.88,47.46,60.42
ORDER_000179,CUST_000035,PROD_000012,STORE_000013,PROMO_000010,PAY_000179,DATE_20201209,2020-12-09,7,2421.37,1129.33,1292.04
ORDER_000180,CUST_000172,PROD_000033,STORE_000019,PROMO_000016,PAY_000180,DATE_20201114,2020-11-14,9,3900.69,864.78,3035.91
ORDER_000181,CUST_000191,PROD_000038,STORE_000016,PROMO_000017,PAY_000181,DATE_20211017,2021-10-17,3,2217.6,789.69,1427.91
ORDER_000182,CUST_000126,PROD_000045,STORE_000019,PROMO_000014,PAY_000182,DATE_20211106,2021-11-06,10,539.4,269.11,270.29
ORDER_000183,CUST_000009,PROD_000037,STORE_000018,PROMO_000017,PAY_000183,DATE_20200209,2020-02-09,6,5559.06,2491.57,3067.49
ORDER_000184,CUST_000114,PROD_000050,STORE_000004,PROMO_000013,PAY_000184,DATE_20210529,2021-05-29,4,1176.16,527.04,649.12
