PaymentMethodID,PaymentType,Provider
PAY_000137,Cash,Maestro
PAY_000138,debit card,Maestro
PAY_000139,Mobile Payment,Maestro
PAY_000140,debit card,Amex
PAY_000141,Cash,MasterCard
PAY_000142,Mobile Payment,Visa
PAY_000143,Mobile Payment,MasterCard
PAY_000144,debit card,Visa
PAY_000145,Cash,Maestro
PAY_000146,credit card,MasterCard
PAY_000147,credit card,MasterCard
PAY_000148,Mobile Payment,Amex
PAY_000149,Mobile Payment,Amex
PAY_000150,Mobile Payment,Maestro
PAY_000151,debit card,PayPal
PAY_000152,credit card,Visa
PAY_000153,Cash,PayPal
PAY_000154,Mobile Payment,Maestro
PAY_000155,Mobile Payment,Visa
PAY_000156,Cash,Amex
PAY_000157,debit card,PayPal
PAY_000158,debit card,Amex
PAY_000159,Cash,MasterCard
PAY_000160,credit card,MasterCard
PAY_000161,credit card,Visa
PAY_000162,Cash,PayPal
PAY_000163,Cash,MasterCard
PAY_000164,Cash,PayPal
PAY_000165,credit card,Amex
PAY_000166,Cash,MasterCard
PAY_000167,Cash,Maestro
PAY_000168,debit card,MasterCard
PAY_000169,Mobile Payment,Amex
PAY_000170,Mobile Payment,Visa
PAY_000171,debit card,PayPal
PAY_000172,Mobile Payment,Maestro
PAY_000173,Mobile Payment,Visa
PAY_000174,Cash,Amex
PAY_000175,Mobile Payment,Maestro
PAY_000176,debit card,MasterCard
PAY_000177,Cash,PayPal
PAY_000178,credit card,Amex
PAY_000179,Mobile Payment,Maestro
PAY_000180,Mobile Payment,Amex
PAY_000181,Mobile Payment,Visa
PAY_000182,Mobile Payment,Maestro
PAY_000183,credit card,PayPal
PAY_000184,Cash,Visa
PAY_000185,Cash,Visa
PAY_000186,credit card,Visa
PAY_000187,credit card,Amex
PAY_000188,Cash,MasterCard
PAY_000189,credit card,Visa
PAY_000190,credit card,Amex
PAY_000191,Cash,MasterCard
PAY_000192,Cash,MasterCard
PAY_000193,Cash,MasterCard
PAY_000194,credit card,Visa
PAY_000195,Cash,Visa
PAY_000196,debit card,MasterCard
PAY_000197,debit card,Visa
PAY_000198,Cash,Amex
PAY_000199,Mobile Payment,Amex
PAY_000200,debit card,Amex
PAY_000201,debit card,Visa
PAY_000202,Mobile Payment,Visa
PAY_000203,debit card,Visa
PAY_000204,credit card,Visa
PAY_000205,Cash,PayPal
PAY_000206,Cash,PayPal
PAY_000207,Mobile Payment,Visa
PAY_000208,credit card,PayPal
PAY_000209,Mobile Payment,Maestro
PAY_000210,Mobile Payment,Visa
PAY_000211,Cash,Maestro
PAY_000212,Mobile Payment,Visa
PAY_000213,debit card,PayPal
PAY_000214,credit card,Amex
PAY_000215,Cash,Visa
PAY_000216,Mobile Payment,Visa
PAY_000217,Cash,Maestro
PAY_000218,credit card,MasterCard
PAY_000219,credit card,Visa
PAY_000220,Cash,Visa
PAY_000221,credit card,PayPal
PAY_000222,debit card,Amex
PAY_000223,debit card,MasterCard
PAY_000224,Cash,Maestro
PAY_000225,credit card,Amex
PAY_000226,debit card,MasterCard
PAY_000227,debit card,Amex
PAY_000228,Mobile Payment,PayPal
PAY_000229,Cash,Maestro
PAY_000230,debit card,Visa
PAY_000231,debit card,Visa
PAY_000232,Mobile Payment,PayPal
PAY_000233,Mobile Payment,Maestro
PAY_000234,debit card,Maestro
PAY_000235,Cash,Amex
PAY_000236,Cash,Visa
PAY_000237,debit card,Visa
PAY_000238,credit card,MasterCard
PAY_000239,Cash,Maestro
PAY_000240,Mobile Payment,PayPal
PAY_000241,Mobile Payment,Amex
PAY_000242,Cash,Visa
PAY_000243,Mobile Payment,Visa
PAY_000244,Cash,Amex
PAY_000245,Mobile Payment,PayPal
PAY_000246,Mobile Payment,Visa
PAY_000247,Mobile Payment,Maestro
PAY_000248,debit card,MasterCard
PAY_000249,Mobile Payment,Amex
PAY_000250,Cash,Maestro
PAY_000251,credit card,Visa
PAY_000252,credit card,Maestro
PAY_000253,credit card,Visa
PAY_000254,credit card,MasterCard
PAY_000255,debit card,MasterCard
PAY_000256,Mobile Payment,Amex
PAY_000257,Mobile Payment,Amex
PAY_000258,Cash,Maestro
PAY_000259,debit card,PayPal
PAY_000260,Cash,Amex
PAY_000261,debit card,Maestro
PAY_000262,debit card,Visa
PAY_000263,debit card,Visa
PAY_000264,Mobile Payment,PayPal
PAY_000265,debit card,PayPal
PAY_000266,Cash,Amex
PAY_000267,credit card,Visa
PAY_000268,Cash,Visa
PAY_000269,debit card,MasterCard
PAY_000270,Mobile Payment,Amex
PAY_000271,credit card,Maestro
PAY_000272,Mobile Payment,PayPal
PAY_000273,debit card,Maestro
PAY_000274,debit card,Amex
PAY_000275,Cash,Maestro
PAY_000276,credit card,Maestro
PAY_000277,credit card,Maestro
PAY_000278,credit card,Amex
PAY_000279,Cash,Amex
PAY_000280,credit card,Amex
PAY_000281,Cash,Visa
PAY_000282,credit card,MasterCard
PAY_000283,credit card,MasterCard
PAY_000284,debit card,Maestro
PAY_000285,debit card,Maestro
PAY_000286,credit card,Amex
PAY_000287,credit card,MasterCard
PAY_000288,credit card,PayPal
PAY_000289,Cash,MasterCard
PAY_000290,Cash,PayPal
PAY_000291,credit card,Maestro
PAY_000292,Cash,Amex
PAY_000293,Cash,PayPal
PAY_000294,Mobile Payment,MasterCard
PAY_000295,credit card,Maestro
PAY_000296,Cash,Amex
PAY_000297,debit card,Maestro
PAY_000298,Cash,PayPal
PAY_000299,Mobile Payment,Visa
PAY_000300,Cash,Visa
PAY_000301,Mobile Payment,Amex
PAY_000302,Mobile Payment,Visa
PAY_000303,debit card,Maestro
PAY_000304,credit card,MasterCard
PAY_000305,Mobile Payment,MasterCard
PAY_000306,Mobile Payment,Amex
PAY_000307,debit card,Maestro
PAY_000308,Mobile Payment,Visa
PAY_000309,credit card,Maestro
PAY_000310,credit card,PayPal
PAY_000311,Mobile Payment,Visa
PAY_000312,debit card,Amex
PAY_000313,credit card,Maestro
PAY_000314,Cash,MasterCard
PAY_000315,credit card,Visa
PAY_000316,debit card,Amex
PAY_000317,debit card,PayPal
PAY_000318,Mobile Payment,Maestro
PAY_000319,Cash,Visa
PAY_000320,debit card,Amex
PAY_000321,credit card,Visa
PAY_000322,Cash,MasterCard
PAY_000323,Mobile Payment,MasterCard
PAY_000324,Mobile Payment,Visa
PAY_000325,debit card,MasterCard
PAY_000326,Cash,Amex
PAY_000327,Mobile Payment,Maestro
PAY_000328,Cash,Maestro
PAY_000329,Cash,Maestro
PAY_000330,Mobile Payment,PayPal
PAY_000331,Mobile Payment,Maestro
PAY_000332,Mobile Payment,Maestro
PAY_000333,debit card,PayPal
PAY_000334,credit card,Amex
PAY_000335,debit card,Visa
PAY_000336,Cash,PayPal
PAY_000337,credit card,PayPal
PAY_000338,debit card,Maestro
PAY_000339,Cash,Visa
PAY_000340,Cash,Amex
PAY_000341,debit card,MasterCard
PAY_000342,debit card,MasterCard
PAY_000343,Cash,Maestro
PAY_000344,debit card,Amex
PAY_000345,Cash,Maestro
PAY_000346,credit card,Amex
PAY_000347,Cash,Maestro
PAY_000348,debit card,MasterCard
PAY_000349,Mobile Payment,Amex
PAY_000350,Cash,PayPal
PAY_000351,Cash,PayPal
PAY_000352,credit card,Visa
PAY_000353,Mobile Payment,Visa
PAY_000354,Cash,Visa
PAY_000355,Cash,Maestro
PAY_000356,Cash,Amex
PAY_000357,credit card,MasterCard
PAY_000358,debit card,Maestro
PAY_000359,Cash,PayPal
PAY_000360,debit card,Visa
PAY_000361,Mobile Payment,Amex
PAY_000362,debit card,MasterCard
PAY_000363,Mobile Payment,PayPal
PAY_000364,Cash,MasterCard
PAY_000365,credit card,MasterCard
PAY_000366,debit card,Visa
PAY_000367,Cash,MasterCard
PAY_000368,credit card,Maestro
PAY_000369,debit card,Maestro
PAY_000370,Cash,MasterCard
PAY_000371,debit card,Amex
PAY_000372,credit card,MasterCard
PAY_000373,Cash,Amex
PAY_000374,debit card,Visa
PAY_000375,Cash,MasterCard
PAY_000376,Mobile Payment,Amex
PAY_000377,Mobile Payment,Amex
PAY_000378,Mobile Payment,MasterCard
PAY_000379,Cash,PayPal
PAY_000380,credit card,PayPal
PAY_000381,Mobile Payment,MasterCard
PAY_000382,credit card,Maestro
PAY_000383,Cash,PayPal
PAY_000384,debit card,Maestro
PAY_000385,debit card,Maestro
PAY_000386,credit card,Visa
PAY_000387,Mobile Payment,Amex
PAY_000388,credit card,Maestro
PAY_000389,credit card,MasterCard
PAY_000390,Mobile Payment,PayPal
PAY_000391,debit card,Visa
PAY_000392,Mobile Payment,MasterCard
PAY_000393,Cash,Visa
PAY_000394,Mobile Payment,Amex
PAY_000395,Cash,Amex
PAY_000396,Mobile Payment,MasterCard
PAY_000397,Mobile Payment,Maestro
PAY_000398,debit card,Amex
PAY_000399,Cash,Amex
PAY_000400,Mobile Payment,Amex
PAY_000401,Cash,Amex
PAY_000402,debit card,MasterCard
PAY_000403,Cash,Maestro
PAY_000404,credit card,MasterCard
PAY_000405,Mobile Payment,Amex
PAY_000406,debit card,MasterCard
PAY_000407,Mobile Payment,Amex
PAY_000408,credit card,Maestro
PAY_000409,credit card,PayPal
PAY_000410,Cash,Amex
PAY_000411,Mobile Payment,Amex
PAY_000412,debit card,Maestro
PAY_000413,Mobile Payment,Amex
PAY_000414,Mobile Payment,Maestro
PAY_000415,credit card,Visa
PAY_000416,credit card,Amex
PAY_000417,Mobile Payment,MasterCard
PAY_000418,debit card,Amex
PAY_000419,credit card,Visa
PAY_000420,Mobile Payment,MasterCard
PAY_000421,Mobile Payment,Amex
PAY_000422,Mobile Payment,Visa
PAY_000423,credit card,Amex
PAY_000424,Mobile Payment,Maestro
PAY_000425,Cash,Amex
PAY_000426,Mobile Payment,MasterCard
PAY_000427,Cash,MasterCard
PAY_000428,credit card,PayPal
PAY_000429,Cash,Amex
PAY_000430,Cash,Visa
PAY_000431,Mobile Payment,PayPal
PAY_000432,Cash,Visa
PAY_000433,Cash,PayPal
PAY_000434,Mobile Payment,MasterCard
PAY_000435,Cash,Amex
PAY_000436,credit card,Visa
PAY_000437,credit card,MasterCard
PAY_000438,credit card,MasterCard
PAY_000439,Mobile Payment,Maestro
PAY_000440,debit card,MasterCard
PAY_000441,credit card,PayPal
PAY_000442,Mobile Payment,MasterCard
PAY_000443,Cash,Maestro
PAY_000444,debit card,Amex
PAY_000445,debit card,MasterCard
PAY_000446,debit card,PayPal
PAY_000447,Cash,Visa
PAY_000448,debit card,Maestro
PAY_000449,Mobile Payment,MasterCard
PAY_000450,Cash,MasterCard
PAY_000451,credit card,PayPal
PAY_000452,credit card,Visa
PAY_000453,Cash,Amex
PAY_000454,credit card,Amex
PAY_000455,Mobile Payment,Amex
PAY_000456,Mobile Payment,Visa
PAY_000457,Mobile Payment,Maestro
PAY_000458,Cash,PayPal
PAY_000459,Cash,Maestro
PAY_000460,debit card,Maestro
PAY_000461,credit card,Visa
PAY_000462,Mobile Payment,Maestro
PAY_000463,Cash,Visa
PAY_000464,Cash,Amex
PAY_000465,credit card,PayPal
PAY_000466,Cash,PayPal
PAY_000467,Mobile Payment,Amex
PAY_000468,credit card,Amex
PAY_000469,Mobile Payment,Amex
PAY_000470,debit card,Amex
PAY_000471,credit card,Amex
PAY_000472,credit card,Maestro
PAY_000473,debit card,MasterCard
PAY_000474,Mobile Payment,Visa
PAY_000475,debit card,PayPal
PAY_000476,Mobile Payment,PayPal
PAY_000477,Mobile Payment,Maestro
PAY_000478,Mobile Payment,Maestro
PAY_000479,debit card,Visa
PAY_000480,debit card,Amex
PAY_000481,Mobile Payment,Visa
PAY_000482,credit card,MasterCard
PAY_000483,Cash,PayPal
PAY_000484,Mobile Payment,Visa
PAY_000485,credit card,Maestro
PAY_000486,Mobile Payment,Amex
PAY_000487,debit card,Visa
PAY_000488,Mobile Payment,Amex
PAY_000489,credit card,PayPal
PAY_000490,Cash,MasterCard
PAY_000491,debit card,PayPal
PAY_000492,credit card,MasterCard
PAY_000493,debit card,PayPal
PAY_000494,credit card,Visa
PAY_000495,credit card,Amex
PAY_000496,credit card,Amex
PAY_000497,Cash,Amex
PAY_000498,credit card,Maestro
PAY_000499,credit card,PayPal
PAY_000500,debit card,Amex
PAY_000501,Mobile Payment,Amex
PAY_000502,Cash,PayPal
PAY_000503,Mobile Payment,PayPal
PAY_000504,Mobile Payment,MasterCard
PAY_000505,Mobile Payment,MasterCard
PAY_000506,credit card,PayPal
PAY_000507,Mobile Payment,PayPal
PAY_000508,credit card,PayPal
PAY_000509,credit card,Maestro
PAY_000510,Mobile Payment,Maestro
PAY_000511,credit card,Visa
PAY_000512,debit card,Visa
PAY_000513,credit card,PayPal
PAY_000514,Cash,Visa
PAY_000515,debit card,PayPal
PAY_000516,credit card,PayPal
PAY_000517,Cash,Maestro
PAY_000518,Cash,Maestro
PAY_000519,Mobile Payment,PayPal
PAY_000520,Cash,MasterCard
PAY_000521,Mobile Payment,Visa
PAY_000522,credit card,Visa
PAY_000523,Mobile Payment,Maestro
PAY_000524,Cash,MasterCard
PAY_000525,credit card,PayPal
PAY_000526,Cash,PayPal
PAY_000527,Mobile Payment,MasterCard
PAY_000528,credit card,MasterCard
PAY_000529,Mobile Payment,MasterCard
PAY_000530,debit card,Visa
PAY_000531,debit card,PayPal
PAY_000532,debit card,MasterCard
PAY_000533,Mobile Payment,Maestro
PAY_000534,Mobile Payment,PayPal
PAY_000535,Mobile Payment,Visa
PAY_000536,Cash,Amex
PAY_000537,Mobile Payment,MasterCard
PAY_000538,credit card,MasterCard
PAY_000539,Cash,Maestro
PAY_000540,debit card,Maestro
PAY_000541,credit card,MasterCard
PAY_000542,debit card,Visa
PAY_000543,Mobile Payment,Amex
PAY_000544,debit card,MasterCard
PAY_000545,Mobile Payment,Maestro
PAY_000546,debit card,MasterCard
PAY_000547,Mobile Payment,Maestro
PAY_000548,Cash,Amex
PAY_000549,credit card,Maestro
PAY_000550,credit card,PayPal
PAY_000551,credit card,Amex
PAY_000552,Mobile Payment,Amex
PAY_000553,credit card,Visa
PAY_000554,debit card,Visa
PAY_000555,debit card,Maestro
PAY_000556,Mobile Payment,Maestro
PAY_000557,Mobile Payment,PayPal
PAY_000558,Mobile Payment,PayPal
PAY_000559,Mobile Payment,Visa
PAY_000560,Cash,MasterCard
PAY_000561,debit card,Maestro
PAY_000562,credit card,PayPal
PAY_000563,debit card,Visa
PAY_000564,Mobile Payment,Maestro
PAY_000565,debit card,MasterCard
PAY_000566,Mobile Payment,PayPal
PAY_000567,Mobile Payment,Visa
PAY_000568,Cash,Amex
PAY_000569,Cash,PayPal
PAY_000570,Mobile Payment,PayPal
PAY_000571,credit card,Amex
PAY_000572,Mobile Payment,MasterCard
PAY_000573,Cash,Maestro
PAY_000574,debit card,MasterCard
PAY_000575,Mobile Payment,Maestro
PAY_000576,Cash,Maestro
PAY_000577,credit card,PayPal
PAY_000578,Cash,Visa
PAY_000579,Mobile Payment,Maestro
PAY_000580,Mobile Payment,Amex
PAY_000581,Cash,Amex
PAY_000582,Mobile Payment,Maestro
PAY_000583,Cash,Maestro
PAY_000584,credit card,Maestro
PAY_000585,Mobile Payment,Maestro
PAY_000586,credit card,Amex
PAY_000587,debit card,PayPal
PAY_000588,Mobile Payment,Maestro
PAY_000589,Mobile Payment,PayPal
PAY_000590,credit card,Maestro
PAY_000591,Mobile Payment,PayPal
PAY_000592,Mobile Payment,Amex
PAY_000593,Mobile Payment,Amex
PAY_000594,debit card,Visa
PAY_000595,Cash,MasterCard
PAY_000596,debit card,Amex
PAY_000597,Cash,PayPal
PAY_000598,debit card,Maestro
PAY_000599,credit card,PayPal
PAY_000600,Mobile Payment,Amex
PAY_000601,credit card,Maestro
PAY_000602,debit card,Maestro
PAY_000603,debit card,MasterCard
PAY_000604,Cash,PayPal
PAY_000605,Mobile Payment,Maestro
PAY_000606,Mobile Payment,PayPal
PAY_000607,Cash,Visa
PAY_000608,debit card,Maestro
PAY_000609,credit card,MasterCard
PAY_000610,credit card,Maestro
PAY_000611,Mobile Payment,MasterCard
PAY_000612,credit card,PayPal
PAY_000613,credit card,PayPal
PAY_000614,Mobile Payment,Visa
PAY_000615,credit card,Maestro
PAY_000616,debit card,Amex
PAY_000617,Cash,MasterCard
PAY_000618,Cash,PayPal
PAY_000619,Mobile Payment,Amex
PAY_000620,debit card,Maestro
PAY_000621,credit card,Maestro
PAY_000622,debit card,MasterCard
PAY_000623,credit card,Maestro
PAY_000624,Cash,MasterCard
PAY_000625,Mobile Payment,Amex
PAY_000626,Mobile Payment,PayPal
PAY_000627,credit card,Amex
PAY_000628,Cash,MasterCard
PAY_000629,Mobile Payment,Amex
PAY_000630,debit card,PayPal
PAY_000631,Mobile Payment,Amex
PAY_000632,Mobile Payment,PayPal
PAY_000633,Mobile Payment,MasterCard
PAY_000634,debit card,MasterCard
PAY_000635,Cash,MasterCard
PAY_000636,credit card,PayPal
PAY_000637,debit card,Amex
PAY_000638,Cash,Amex
PAY_000639,Mobile Payment,Amex
PAY_000640,debit card,MasterCard
PAY_000641,Mobile Payment,Maestro
PAY_000642,Mobile Payment,Visa
PAY_000643,credit card,Amex
PAY_000644,Mobile Payment,MasterCard
PAY_000645,credit card,MasterCard
PAY_000646,Cash,Amex
PAY_000647,credit card,Maestro
PAY_000648,Cash,Amex
PAY_000649,debit card,MasterCard
PAY_000650,debit card,Maestro
PAY_000651,credit card,MasterCard
PAY_000652,credit card,PayPal
PAY_000653,Cash,PayPal
PAY_000654,debit card,Visa
PAY_000655,Cash,Maestro
PAY_000656,Cash,Amex
PAY_000657,Mobile Payment,Maestro
PAY_000658,Mobile Payment,MasterCard
PAY_000659,Mobile Payment,Maestro
PAY_000660,Cash,Amex
PAY_000661,Mobile Payment,Maestro
PAY_000662,debit card,Visa
PAY_000663,debit card,Visa
PAY_000664,Mobile Payment,Visa
PAY_000665,credit card,Maestro
PAY_000666,debit card,Maestro
PAY_000667,Cash,MasterCard
PAY_000668,Cash,MasterCard
PAY_000669,debit card,Visa
PAY_000670,debit card,MasterCard
PAY_000671,Mobile Payment,Visa
PAY_000672,debit card,PayPal
PAY_000673,Mobile Payment,Visa
PAY_000674,debit card,Visa
PAY_000675,Cash,Maestro
PAY_000676,credit card,MasterCard
PAY_000677,debit card,Amex
PAY_000678,Mobile Payment,Maestro
PAY_000679,credit card,PayPal
PAY_000680,credit card,Visa
PAY_000681,debit card,Amex
PAY_000682,Cash,PayPal
PAY_000683,credit card,Maestro
PAY_000684,credit card,Amex
PAY_000685,Cash,Visa
PAY_000686,credit card,Amex
PAY_000687,credit card,PayPal
PAY_000688,credit card,PayPal
PAY_000689,credit card,PayPal
PAY_000690,debit card,Amex
PAY_000691,Cash,MasterCard
PAY_000692,Mobile Payment,Maestro
PAY_000693,Mobile Payment,Visa
PAY_000694,debit card,Visa
PAY_000695,debit card,Visa
PAY_000696,Cash,Amex
PAY_000697,Mobile Payment,PayPal
PAY_000698,credit card,Maestro
PAY_000699,debit card,Amex
PAY_000700,Cash,PayPal
PAY_000701,Cash,PayPal
PAY_000702,debit card,MasterCard
PAY_000703,debit card,PayPal
PAY_000704,debit card,Maestro
PAY_000705,debit card,Visa
PAY_000706,debit card,MasterCard
PAY_000707,Cash,MasterCard
PAY_000708,Cash,Visa
PAY_000709,Cash,PayPal
PAY_000710,debit card,Maestro
PAY_000711,debit card,PayPal
PAY_000712,Cash,Visa
PAY_000713,credit card,Maestro
PAY_000714,debit card,Amex
PAY_000715,credit card,Amex
PAY_000716,debit card,MasterCard
PAY_000717,Cash,PayPal
PAY_000718,debit card,Amex
PAY_000719,credit card,Maestro
PAY_000720,Cash,Maestro
PAY_000721,Cash,Visa
PAY_000722,credit card,MasterCard
PAY_000723,Mobile Payment,Visa
PAY_000724,Cash,Maestro
PAY_000725,Mobile Payment,Visa
PAY_000726,Cash,Amex
PAY_000727,credit card,PayPal
PAY_000728,Mobile Payment,MasterCard
PAY_000729,credit card,MasterCard
PAY_000730,debit card,MasterCard
PAY_000731,debit card,Maestro
PAY_000732,Cash,Visa
PAY_000733,credit card,PayPal
PAY_000734,credit card,Maestro
PAY_000735,credit card,Amex
PAY_000736,Mobile Payment,Visa
PAY_000737,credit card,PayPal
PAY_000738,debit card,PayPal
PAY_000739,credit card,Maestro
PAY_000740,Mobile Payment,Maestro
PAY_000741,Cash,MasterCard
PAY_000742,credit card,Amex
PAY_000743,debit card,MasterCard
PAY_000744,Cash,PayPal
PAY_000745,Cash,MasterCard
PAY_000746,Mobile Payment,Maestro
PAY_000747,credit card,Maestro
PAY_000748,debit card,MasterCard
PAY_000749,debit card,MasterCard
PAY_000750,debit card,Maestro
PAY_000751,debit card,PayPal
PAY_000752,credit card,Visa
PAY_000753,credit card,Visa
PAY_000754,credit card,MasterCard
PAY_000755,Cash,Visa
PAY_000756,Cash,Visa
PAY_000757,credit card,PayPal
PAY_000758,Cash,Visa
PAY_000759,debit card,MasterCard
PAY_000760,Mobile Payment,PayPal
PAY_000761,Mobile Payment,MasterCard
PAY_000762,credit card,Maestro
PAY_000763,credit card,Visa
PAY_000764,credit card,Maestro
PAY_000765,Mobile Payment,Visa
PAY_000766,Mobile Payment,MasterCard
PAY_000767,credit card,Amex
PAY_000768,Cash,PayPal
PAY_000769,Cash,Amex
PAY_000770,Mobile Payment,Maestro
PAY_000771,Cash,Amex
PAY_000772,Cash,Visa
PAY_000773,Cash,Amex
PAY_000774,debit card,MasterCard
PAY_000775,Cash,Amex
PAY_000776,credit card,Amex
PAY_000777,credit card,MasterCard
PAY_000778,Cash,Maestro
PAY_000779,Cash,Amex
PAY_000780,credit card,PayPal
PAY_000781,credit card,PayPal
PAY_000782,debit card,MasterCard
PAY_000783,debit card,Amex
PAY_000784,Cash,Amex
PAY_000785,Cash,MasterCard
PAY_000786,debit card,MasterCard
PAY_000787,debit card,Amex
PAY_000788,Cash,PayPal
PAY_000789,Cash,Maestro
PAY_000790,credit card,PayPal
PAY_000791,Cash,MasterCard
PAY_000792,Cash,MasterCard
PAY_000793,credit card,PayPal
PAY_000794,credit card,MasterCard
PAY_000795,Mobile Payment,Amex
PAY_000796,Cash,Amex
PAY_000797,debit card,PayPal
PAY_000798,debit card,MasterCard
PAY_000799,credit card,Visa
PAY_000800,Mobile Payment,Visa
PAY_000801,credit card,Visa
PAY_000802,debit card,Visa
PAY_000803,Mobile Payment,PayPal
PAY_000804,Mobile Payment,PayPal
PAY_000805,Mobile Payment,Visa
PAY_000806,credit card,MasterCard
PAY_000807,debit card,Maestro
PAY_000808,Cash,Visa
PAY_000809,credit card,PayPal
PAY_000810,debit card,Maestro
PAY_000811,Mobile Payment,Visa
PAY_000812,Mobile Payment,MasterCard
PAY_000813,Cash,MasterCard
PAY_000814,Cash,Maestro
PAY_000815,debit card,Visa
PAY_000816,Mobile Payment,MasterCard
PAY_000817,debit card,PayPal
PAY_000818,Mobile Payment,MasterCard
PAY_000819,credit card,MasterCard
PAY_000820,debit card,PayPal
PAY_000821,Mobile Payment,PayPal
PAY_000822,debit card,Amex
PAY_000823,Cash,PayPal
PAY_000824,Mobile Payment,Visa
PAY_000825,Mobile Payment,Maestro
